INT	INT	INT	INT	INT	INT	INT	INT	STRING
10157102	2	5	0	2795	-1	0	0	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157103	2	5	59	446	58	446	1	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157104	2	5	61	446	60	446	2	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157105	2	5	62	554	-1	0	3	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157106	2	5	63	185	-1	0	4	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157107	2	5	37	7	-1	0	5	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157108	3	0	0	3830	-1	0	0	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157109	3	0	59	612	58	612	1	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157110	3	0	61	612	60	612	2	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157111	3	0	62	760	-1	0	3	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157112	3	0	63	254	-1	0	4	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157113	3	0	37	10	-1	0	5	#r#Y? lßu quang Linh Võ?#W#r#G3Ki®n: Huyªt Thßþng HÕn gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rlßu quang Phi Änh: SØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång công kích 5M­ Nµi møc tiêu Th¶i, Hæu xác su¤t gây ra: SÑ tñ thân di ðµng t¯c ðµ gia tång, Thß mi­n d¸ch giäm t¯c ðµ, liên tøc 8Sao, gây ra trong lúc không h« l£p lÕi gây ra. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157114	3	1	0	3830	-1	0	0	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157115	3	1	59	612	58	612	1	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157116	3	1	61	612	60	612	2	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157117	3	1	62	760	-1	0	3	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157118	3	1	63	254	-1	0	4	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157119	3	1	37	10	-1	0	5	#r#Y? Mµ Vû Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính công kích gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rMµ Vû Lßu Xuân: SØ døng H§u, M®nh Trung møc tiêu H§u Hæu xác su¤t h¤p thø S· tÕo thành thß½ng t±n Ðích bµ ph§n Huyªt Lßþng C¤p tñ thân, liên tøc 10Sao, th¶i gian phøc h°i 100Sao. (møc tiêu Vi quái v§t Th¶i, h¤p thø Lßþng r½i ch§m lÕi)
10157120	3	2	0	3830	-1	0	0	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157121	3	2	59	612	58	612	1	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157122	3	2	61	612	60	612	2	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157123	3	2	62	760	-1	0	3	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157124	3	2	63	254	-1	0	4	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157125	3	2	37	10	-1	0	5	#r#Y? Tinh Huy Linh Võ?#W#r#G3Ki®n: Hi¬u ý gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rTinh Huy Tri«n DÕ: SØ døng H§u, sØ døng thÑ nh¤t bän tâm Pháp ngß¶i thÑ nh¤t kÛ nång M®nh Trung møc tiêu Tính Ð¯i møc tiêu tÕo thành hi¬u ý mµt kích Th¶i, Hæu xác su¤t SÑ møc tiêu Tê Li®t 1Sao, trÕng thái liên tøc 10Sao, th¶i gian phøc h°i 120Sao. (MÕn Ðà S½n Trang Quäng Lång Tän trÕng thái HÕ, gây ra xác su¤t r½i ch§m lÕi)
10157126	3	3	0	3830	-1	0	0	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157127	3	3	59	612	58	612	1	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157128	3	3	61	612	60	612	2	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157129	3	3	62	760	-1	0	3	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157130	3	3	63	254	-1	0	4	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157131	3	3	37	10	-1	0	5	#r#Y? gió nh© Linh Võ?#W#r#G3Ki®n: Thi¬m T¸ gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rgió nh© T¸nh Vân: SØ døng H§u, ðã b¸ thß½ng t±n Th¶i, giäm b¾t ðã b¸ Ðích thß½ng t±n, liên tøc 8Sao, th¶i gian phøc h°i 120Sao.
10157132	3	4	0	3830	-1	0	0	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157133	3	4	59	612	58	612	1	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157134	3	4	61	612	60	612	2	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157135	3	4	62	760	-1	0	3	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157136	3	4	63	254	-1	0	4	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157137	3	4	37	10	-1	0	5	#r#Y? DÕ Tuyªt Linh Võ?#W#r#G3Ki®n: M®nh Trung gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rDÕ Tuyªt Thi®t Trúc: Ð¯i Tê Li®t, Th¤t Minh, Tän Công, Phong Huy®t, phong ¤n, mê muµi Ðích møc tiêu tÕo thành Ðích thß½ng t±n ð« cao.
10157138	3	5	0	3830	-1	0	0	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157139	3	5	59	612	58	612	1	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157140	3	5	61	612	60	612	2	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157141	3	5	62	760	-1	0	3	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157142	3	5	63	254	-1	0	4	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
10157143	3	5	37	10	-1	0	5	#r#Y? Ngñ Lôi Linh Võ?#W#r#G3Ki®n: T¤t cä thuµc tính gia tång; #r6Ki®n: Nh§n ðßþc kÛ nång: #rNgñ Lôi œng Vû: Ð¯i g¥n ðây ti¬u ðµi Hæu Phß½ng møc tiêu sØ døng, Khä xung phong Chí møc tiêu bên ngß¶i, ð°ng th¶i C¤p tñ thân Hoà møc tiêu Các phóng thích mµt cái hµ thuçn, hµ thuçn h¤p thu bµ ph§n thß½ng t±n, liên tøc 3Sao. Th¶i gian phøc h°i 120Sao.
